,date,content,title,score
67,2021-01-18 17:14:32,Como se trata de um aplicativo pessoas mais idosas deveria ser um pouco mais simples,Simplicidade,4
68,2021-01-18 14:12:08,Funcionalidade,Meu gov,4
69,2020-12-09 15:40:46,"O aplicativo é bom, com uma interface amigável, e promete simplificar o acesso aos documentos. No entanto deveria ter uma opção de manter o login, sem que seja necessário acessar a conta gov.br a cada uso.",Bom,4
70,2020-12-04 09:27:21,Bom,025788311201,4
71,2020-11-30 14:57:31,Muito rápido para uma pessoa de mais idade.,Feed back,4
72,2020-11-29 12:06:51,"Consegui após várias tentativas , vezes pois tirava a foto no final e não era validado.",Muito bom!,4
73,2020-11-06 10:57:33,Otimo,Centralizador,4
74,2020-10-26 12:23:42,Muita enrolação,Difícil,4
75,2020-09-26 10:59:11,Até que enfim o aplicativo funcionou.  Demorou mas a parte referente a biometria facial funcionou de primeira. Parabéns aos teans.  iOS 14.01,Consertaram o bug.,4
76,2021-01-22 00:44:28,10,Doca,4
77,2020-09-17 17:01:47,"Fui tentar fazer a prova de vida da minha mãe e não consigo informar o título, pede sempre a data de expedição da cnh que ela não possui, e na minha verificação biométrica fala que não possuo cnh sendo que possuo sim.",Falha na verificação biométrica,4
78,2020-09-02 20:39:14,Fiz há algumas semanas a validação facial. O app pede para fazer novamente: mais de 15 tentativas inúteis após a atualização de hoje.,Problema,4
79,2020-07-09 14:03:44,"O APP funciona bem, mas ainda existe poucas funcionalidades, espero que em breve passe a integrar todos os serviços do Governo Federal (CNH, cpf, Carteira de trabalho, Saúde, etc)",Funciona e poucas funcionalidades,4
80,2020-06-09 22:47:30,Me cadastrei perfeitamente mas aí quando chega na hora de enviar a foto diz que não tem na base e não consigo fazer mais nada.,Ótimo,4
